student_id,year,semester,institution,course_number,credits,grade,course_description,department,course_title,record_source
4181142,2020,SUMMER,utexas,PHY103N,1,A,"Two laboratory hours and one discussion hour a week for one semester. Only one of the following may be counted:_hysics 102N,?03N,?05N,?16L,?17N. Prerequisite: Credit with a grade of at least C- or registration for_hysics 303L.",PHY,PHY103N,raw_cleaned
4181142,2020,SUMMER,utexas,PHY303L,3,A,"Electricity and magnetism, optics, and atomic phenomena.",PHY,PHY303L,raw_cleaned
4181142,2021,FALL,utexas,ME139L,1,A-,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Heat Transfer,raw_cleaned
4181142,2021,FALL,utexas,ME140L,1,A,"Laboratory work in electronics, instrumentation, and electromechanical system integration.",ME,Mechatronics Laboratory,raw_cleaned
4181142,2021,FALL,utexas,ME338,3,B+,Analysis for the design and manufacture of basic mechanical elements and their role in the design of machines.,ME,Machine Elements,raw_cleaned
4181142,2021,FALL,utexas,ME353,3,C+,"Evaluating the financial impact of engineering decisions, comparing alternatives with cash flow analysis, and managing project risk.",ME,Engineering Finance,raw_cleaned
4181142,2021,SPRING,utexas,EM319,3,CR,"Stress, strain, deformation, torsion, and failure concepts for engineering materials and structures.",EM,Mechanics of Solids,raw_cleaned
4181142,2021,SPRING,utexas,ME134L,1,B,Hands-on experiments in materials science and engineering topics and microstructure-property relationships discussed in Materials Engineering.,ME,Materials Engineering Laboratory,raw_cleaned
4181142,2021,SPRING,utexas,ME330,3,CR,"Fluid properties, conservation laws, internal and external flow, and engineering fluid systems.",ME,Fluid Mechanics,raw_cleaned
4181142,2021,SPRING,utexas,ME334,3,A,"Fundamental aspects of the structure, properties, and behavior of engineering materials.",ME,Materials Engineering,raw_cleaned
4181142,2021,SPRING,utexas,ME335,3,B-,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control.",ME,Engineering Statistics,raw_cleaned
4181142,2022,SPRING,utexas,CS303E,3,,"Introduction to problem solving, algorithms, and programming in an object-oriented language.",CS,Intro to Programming,raw_cleaned
4181142,2022,SPRING,utexas,ME144L,1,,"Modeling of engineering systems, digital simulation, system identification, frequency response, feedback control principles, and hands-on experimentation.",ME,Dynamic Systems and Controls Laboratory,raw_cleaned
4181142,2022,SPRING,utexas,ME344,3,,"Lumped physical system models; electrical, fluid, mechanical, and thermal system analysis; linear system transient and steady-state behavior; introduction to feedback control.",ME,Dynamic Systems and Controls,raw_cleaned
4181142,2022,SPRING,utexas,ME366J,3,,An examination of structured methodologies for designing mechanical systems; reverse engineering/redesign projects and conceptual design projects.,ME,ME366J,raw_cleaned
4196620,2020,FALL,utexas,CS303E,3,A,"Introduction to problem solving, algorithms, and programming in an object-oriented language.",CS,Intro to Programming,raw_cleaned
4196620,2020,FALL,utexas,EM306,3,A,"Forces, moments, equilibrium, and engineering analysis of rigid bodies.",EM,Statics,raw_cleaned
4196620,2020,FALL,utexas,M427J,4,A,"Differential equations, matrices, eigenvalues, and engineering applications.",M,Differential Equations with Linear Algebra,raw_cleaned
4196620,2020,FALL,utexas,ME130L,1,B+,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Fluid Mechanics,raw_cleaned
4196620,2020,FALL,utexas,ME318M,3,B,"Applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to mechanical engineering problems.",ME,Programming and Engineering Computational Methods,raw_cleaned
4196620,2020,FALL,utexas,ME333T,3,B+,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering.",ME,ME333T,raw_cleaned
4196620,2020,FALL,utexas,PHY102M,1,CR,Two laboratory hours a week for one semester.,PHY,PHY102M,raw_cleaned
4196620,2020,FALL,utexas,PHY102N,1,CR,Two laboratory hours a week for one semester.,PHY,PHY102N,raw_cleaned
4196620,2020,FALL,utexas,PHY302K,3,CR,Noncalculus technical course in physics. Completion of high school trigonometry or_athematics 305G_s highly recommended.,PHY,PHY302K,raw_cleaned
4196620,2020,FALL,utexas,PHY302L,3,CR,Noncalculus technical course in physics.,PHY,PHY302L,raw_cleaned
4196620,2020,FALL,utexas,PHY303L,3,A,"Electricity and magnetism, optics, and atomic phenomena.",PHY,PHY303L,raw_cleaned
4196620,2020,FALL,utexas,PHY309K,3,CR,"Mechanics, heat, and sound. Designed for students who do not intend to do further work in natural sciences, engineering, mathematics, or medicine.",PHY,PHY309K,raw_cleaned
4196620,2020,SPRING,utexas,ECO304L,3,CR,"Analysis of the economy as a whole. Measurement of output, the price level, and employment. Basic theories of the determination of Gross domestic product, investment and growth, and inflation. Introduction to fiscal policy and monetary policy.",ECO,ECO304L,raw_cleaned
4196620,2020,SPRING,utexas,GOV310L,3,A,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions.",GOV,GOV310L,raw_cleaned
4196620,2020,SPRING,utexas,HIS315K,3,A,Survey of United States history from the colonial period through the Civil War.,HIS,HIS315K,raw_cleaned
4196620,2020,SPRING,utexas,M408D,4,A,"Calculus sequence covering series, vectors, partial derivatives, and multiple integrals.",M,Calculus II,raw_cleaned
4196620,2021,FALL,utexas,CS313E,3,A,Data structures and software design patterns used for larger technical programs.,CS,Software Design and Data Structures,raw_cleaned
4196620,2021,FALL,utexas,IB320F,3,B-,"Restricted to non-McCombs School of Business majors. Fundamentals of international trade and the international economy; international dimensions of several functional areas of business, including management, marketing, finance, and human resource management; theoretical, institutional, and functional foundations of international business. Three lecture hours a week for one semester.",IB,IB320F,raw_cleaned
4196620,2021,FALL,utexas,ME130L,1,A,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Fluid Mechanics,raw_cleaned
4196620,2021,FALL,utexas,ME134L,1,A,Hands-on experiments in materials science and engineering topics and microstructure-property relationships discussed in Materials Engineering.,ME,Materials Engineering Laboratory,raw_cleaned
4196620,2021,FALL,utexas,ME144L,1,A-,"Modeling of engineering systems, digital simulation, system identification, frequency response, feedback control principles, and hands-on experimentation.",ME,Dynamic Systems and Controls Laboratory,raw_cleaned
4196620,2021,FALL,utexas,ME330,3,A,"Fluid properties, conservation laws, internal and external flow, and engineering fluid systems.",ME,Fluid Mechanics,raw_cleaned
4196620,2021,FALL,utexas,ME334,3,A,"Fundamental aspects of the structure, properties, and behavior of engineering materials.",ME,Materials Engineering,raw_cleaned
4196620,2021,FALL,utexas,ME335,3,A,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control.",ME,Engineering Statistics,raw_cleaned
4196620,2021,FALL,utexas,ME335,3,B-,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control.",ME,Engineering Statistics,raw_cleaned
4196620,2021,FALL,utexas,ME344,3,B-,"Lumped physical system models; electrical, fluid, mechanical, and thermal system analysis; linear system transient and steady-state behavior; introduction to feedback control.",ME,Dynamic Systems and Controls,raw_cleaned
4196620,2021,FALL,utexas,MKT320F,3,B+,"Introduction to basic concepts and terminology in marketing: the process of developing marketing strategy, the role of marketing activities within the firm, external influences that affect the development of marketing strategy, and basic analytical tools appropriate to marketing decision making.",MKT,MKT320F,raw_cleaned
4196620,2021,FALL,utexas,PED106C,1,Q,Designed to accommodate 35 or fewer students. Course number may be repeated for credit when the topics vary.,PED,PED106C,raw_cleaned
4196620,2021,SPRING,utexas,EM319,3,A,"Stress, strain, deformation, torsion, and failure concepts for engineering materials and structures.",EM,Mechanics of Solids,raw_cleaned
4196620,2021,SPRING,utexas,M427L,4,A,Multivariable methods and mathematical tools used in applied engineering analysis.,M,Advanced Calculus for Applications,raw_cleaned
4196620,2021,SPRING,utexas,ME139L,1,B,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Heat Transfer,raw_cleaned
4196620,2021,SPRING,utexas,ME140L,1,B+,"Laboratory work in electronics, instrumentation, and electromechanical system integration.",ME,Mechatronics Laboratory,raw_cleaned
4196620,2021,SPRING,utexas,ME314D,3,A,Kinematics and kinetics of particles and rigid bodies with engineering applications.,ME,Dynamics,raw_cleaned
4196620,2021,SPRING,utexas,ME318M,3,A,"Applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to mechanical engineering problems.",ME,Programming and Engineering Computational Methods,raw_cleaned
4196620,2021,SPRING,utexas,ME335,3,Q,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control.",ME,Engineering Statistics,raw_cleaned
4196620,2021,SPRING,utexas,ME338,3,Q,Analysis for the design and manufacture of basic mechanical elements and their role in the design of machines.,ME,Machine Elements,raw_cleaned
4196620,2021,SPRING,utexas,ME339,3,B-,"Conduction, convection, radiation, and heat exchanger fundamentals.",ME,Heat Transfer,raw_cleaned
4196620,2021,SPRING,utexas,ME340,3,CR,"Circuits, sensors, actuators, feedback, and integration of electronics with mechanical systems.",ME,Mechatronics,raw_cleaned
