student_id,year,semester,institution,course_number,credits,grade,course_description
4181142,2022,SPRING,utexas,ME144L,1,,"Modeling of engineering systems, digital simulation, and assessment of results with experimental study; methods for analysis of first- and second-order systems, system identification, frequency response and feedback control principles; hands-on experimentation with mechanical, fluid, electrical, and magnetic systems; data acquisition and analysis using oscilloscopes and microcomputer-based analog-to-digital and digital-to-analog conversion; theoretical and practical principles governing the design and use of various sensors and transducers."
4181142,2022,SPRING,utexas,ME366J,3,,An examination of structured methodologies for designing mechanical systems; reverse engineering/redesign projects and conceptual design projects.
4181142,2022,SPRING,utexas,CS 303E,3,,"Problem solving and fundamental algorithms for various applications in science, business, and on the World Wide Web, and introductory programming in a modern object-oriented programming language.?,
4285249,2022,SPRING,utexas,ME379M,3,,Topics in Mechanical Engineering,
4304503,2019,FALL,utexas,M408C,4,A,Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits"
4181142,2019,FALL,utexas,RTF306,3,A,"Survey of the aesthetic, cultural, economic, political, and technological trends impacting motion pictures around the world from their origins in the late nineteenth century through the present."
4181142,2019,FALL,utexas,UGS303,3,A,"Large-group lecture and discussion class focusing on a contemporary issue. Designed to introduce undergraduates to scholarly analysis from an interdisciplinary perspective. Includes an introduction to University resources, such as research facilities, museums, and attendance at University lectures or performances as assigned. Multiple sections may be offered in the fall and spring with various topics and instructors."
4181142,2019,FALL,utexas,CH301,3,CR,Three lecture hours a week for one semester; some sections may also require one enrichment/discussion hour a week.
4181142,2019,FALL,utexas,RHE306,3,CR,An introductory writing course that includes instruction in practical reasoning and the principles of rhetoric.
4181142,2019,FALL,utexas,ECO304K,3,CR,"Analysis of the economic behavior of individual consumers, firms, and workers. Demand, supply, and market equilibrium. Impact of taxes, externalities, and market power on equilibrium."
4181142,2020,SPRING,utexas,ME333T,3,B+,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering."
4181142,2020,SPRING,utexas,PHY103M,1,B+,Two laboratory hours a week for one semester.
4181142,2020,SPRING,utexas,PHY303K,3,A,"A general survey of physics; primarily laws of motion, heat, and wave phenomena."
4196620,2020,SPRING,utexas,M408D,4,A,"Certain sections of this course are designated as advanced placement or honors sections; they are restricted to students who have scored well on the Advanced Placement Calculus BC exam or have the consent of the mathematics adviser. This is the second semester of the accelerated calculus sequence. The theory and applications of sequences and infinite series, including those involving functions of one variable, and an introduction to the theory and applications of differential and integral calculus of functions of several variables; subjects include methods of integration, parametric equations, sequences, infinite series, power series, functions of several variables, partial derivatives, and multiple integrals."
4196620,2020,SPRING,utexas,GOV310L,3,A,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions. Part of a six-semester-hour integrated sequence, the second half of which is_overnment 312L"
4196620,2020,SPRING,utexas,HIS315K,3,A,Survey of United States history from the colonial period through the Civil War.
4196620,2020,SPRING,utexas,ECO304L,3,CR,"Analysis of the economy as a whole. Measurement of output, the price level, and employment. Basic theories of the determination of Gross domestic product, investment and growth, and inflation. Introduction to fiscal policy and monetary policy.?,
4304503,2020,SUMMER,utexas,HIS315L,3,B,Survey of United States history since the Civil War.,
4304503,2020,FALL,utexas,PHY103N,1,A,Two laboratory hours and one discussion hour a week for one semester.,
4304503,2020,FALL,utexas,PHY309L,3,CR,Electricity and magnetism"
4196620,2020,FALL,utexas,PHY309K,3,CR,"Mechanics, heat, and sound. Designed for students who do not intend to do further work in natural sciences, engineering, mathematics, or medicine."
4196620,2020,FALL,utexas,PHY302K,3,CR,Noncalculus technical course in physics. Completion of high school trigonometry or_athematics 305G_s highly recommended.
4196620,2020,FALL,utexas,PHY302L,3,CR,Noncalculus technical course in physics.
4196620,2020,FALL,utexas,PHY102N,1,CR,Two laboratory hours a week for one semester.
4196620,2020,FALL,utexas,PHY102M,1,CR,Two laboratory hours a week for one semester.
